id,area,price,bedrooms,bathrooms,furnished,sqm,building_age,contact_name,contact_phone
1,Jakarta Selatan,8000000,3,2,yes,39,4,Dewi Kurniawan,08228078673
2,Jakarta Selatan,8000000,1,1,yes,57,19,Budi Kurniawan,08368038374
3,Jakarta Pusat,15000000,3,2,yes,73,5,Lia Halim,08463608513
4,Jakarta Pusat,13000000,1,1,no,31,11,Nina Permata,08441728977
5,Jakarta Timur,4000000,2,1,no,78,20,Nina Permata,08352166941
6,Jakarta Selatan,11000000,2,1,yes,80,3,Eko Nugroho,08697120868
7,Jakarta Pusat,13000000,2,1,no,69,20,Andi Permata,08923871230
8,Jakarta Barat,6000000,1,2,no,42,20,Maya Halim,08184842788
9,Jakarta Selatan,13000000,2,2,yes,38,18,Fajar Lestari,08949375710
10,Jakarta Timur,10000000,1,2,yes,40,17,Hadi Permata,08657700828
11,Jakarta Utara,6000000,1,2,yes,73,1,Dewi Pratama,08913684052
12,Jakarta Timur,4000000,2,2,no,58,8,Budi Wijaya,08985476583
13,Jakarta Utara,4000000,2,2,yes,54,0,Hadi Kurniawan,08339517485
14,Jakarta Selatan,12000000,3,1,yes,48,5,Budi Permata,08529197443
15,Jakarta Selatan,9000000,2,2,yes,28,7,Andi Wijaya,08732161193
16,Jakarta Barat,5000000,1,2,yes,41,16,Lia Lestari,08804374754
17,Jakarta Utara,9000000,3,2,no,58,14,Dewi Lestari,08392074176
18,Jakarta Utara,3000000,3,1,yes,25,2,Sari Lestari,08191527021
19,Jakarta Utara,4000000,3,1,no,67,15,Agus Kurniawan,08278930103
20,Jakarta Pusat,15000000,2,1,yes,31,13,Nina Saputra,08638835373
21,Jakarta Selatan,9000000,1,2,no,76,3,Maya Lestari,08359997381
22,Jakarta Timur,5000000,2,1,no,54,7,Andi Anggraini,08812642635
23,Jakarta Selatan,8000000,1,1,yes,51,15,Rina Lestari,08621983738
24,Jakarta Pusat,14000000,1,2,no,75,14,Indah Saputra,08829164991
25,Jakarta Pusat,11000000,2,1,yes,62,17,Sari Halim,08181841248
26,Jakarta Barat,10000000,3,1,yes,57,2,Putri Wijaya,08872140194
27,Jakarta Pusat,14000000,1,1,yes,64,2,Lia Permata,08839770838
28,Jakarta Utara,7000000,1,2,yes,41,12,Rizki Nugroho,08696304573
29,Jakarta Selatan,8000000,2,1,yes,59,6,Hadi Pratama,08552154126
30,Jakarta Pusat,13000000,2,1,no,78,17,Indah Permata,08949874152
31,Jakarta Selatan,12000000,3,1,yes,41,3,Dewi Kurniawan,08305569244
32,Jakarta Utara,6000000,3,2,yes,68,20,Hadi Kurniawan,08735213115
33,Jakarta Selatan,9000000,3,2,no,27,0,Fajar Pratama,08925394880
34,Jakarta Pusat,15000000,3,2,yes,32,2,Rizki Kurniawan,08157194416
35,Jakarta Barat,5000000,2,1,yes,44,11,Sari Halim,08375186414
36,Jakarta Selatan,13000000,3,2,yes,40,5,Putri Saputra,08144009172
37,Jakarta Utara,9000000,3,1,no,35,3,Eko Santoso,08714731818
38,Jakarta Pusat,15000000,2,2,yes,39,0,Agus Saputra,08535674183
39,Jakarta Selatan,12000000,2,2,no,26,3,Hadi Pratama,08855453786
40,Jakarta Selatan,9000000,3,2,no,71,10,Lia Permata,08762940214
41,Jakarta Timur,6000000,2,1,no,25,16,Agus Halim,08662173965
42,Jakarta Utara,8000000,3,1,no,57,9,Lia Halim,08625960271
43,Jakarta Barat,5000000,1,2,no,68,5,Indah Saputra,08811006810
44,Jakarta Utara,7000000,1,2,no,54,14,Yusuf Lestari,08768938746
45,Jakarta Pusat,9000000,2,2,yes,77,7,Indah Lestari,08363472189
